,arrays,cycle_time,dma_chunk_size,factors,mat_size,memory_type,partition,pipelined_dma,ready_mode,spad_ports,unrolling_factor_num,unrolling_factor_row_sub,unrolling_factor_sub,Avg FU Dynamic Power,Avg FU Power,Avg FU leakage Power,Avg MEM Dynamic Power,Avg MEM Leakage Power,Avg MEM Power,Avg Power,Cycle ,FU Area,Idle FU Cycles,MEM Area,Num of Registers (32-bit),Num of Shifters (32-bit),Num of Single Precision FP Adders,Num of Single Precision FP Multipliers,Running ,Top level function,Total Area
71,"['A', 'I']",5,256,16,32,spad,cyclic,True,0,16,32,8,32,19.3761,23.8841,4.50799,0.72447,0.40172,1.12619,25.0103,33039,440884,19454,26957.2,1110,2,32,33,./outputs/mat_inv-gem5-accel,mat_inv,467841
72,"['A', 'I']",5,256,16,32,spad,cyclic,True,1,4,32,1,16,13.5145,17.9685,4.454,0.505358,0.40172,0.907078,18.8756,47364,435021,31612,26957.2,1105,2,32,32,./outputs/mat_inv-gem5-accel,mat_inv,461978
73,"['A', 'I']",5,256,16,32,spad,cyclic,True,1,4,32,1,32,18.0441,22.4981,4.454,0.674779,0.40172,1.0765,23.5746,35472,435021,21704,26957.2,1105,2,32,32,./outputs/mat_inv-gem5-accel,mat_inv,461978
74,"['A', 'I']",5,256,16,32,spad,cyclic,True,1,4,32,8,16,14.2501,18.7581,4.50799,0.532877,0.40172,0.934597,19.6927,44918,440884,29352,26957.2,1110,2,32,33,./outputs/mat_inv-gem5-accel,mat_inv,467841
75,"['A', 'I']",5,256,16,32,spad,cyclic,True,1,4,32,8,32,19.3801,23.8881,4.50799,0.724755,0.40172,1.12648,25.0145,33026,440884,19444,26957.2,1110,2,32,33,./outputs/mat_inv-gem5-accel,mat_inv,467841
76,"['A', 'I']",5,256,16,32,spad,cyclic,True,1,16,32,1,16,13.5145,17.9685,4.454,0.505358,0.40172,0.907078,18.8756,47364,435021,31612,26957.2,1105,2,32,32,./outputs/mat_inv-gem5-accel,mat_inv,461978
77,"['A', 'I']",5,256,16,32,spad,cyclic,True,1,16,32,1,32,18.0441,22.4981,4.454,0.674779,0.40172,1.0765,23.5746,35472,435021,21704,26957.2,1105,2,32,32,./outputs/mat_inv-gem5-accel,mat_inv,461978
78,"['A', 'I']",5,256,16,32,spad,cyclic,True,1,16,32,8,16,14.2501,18.7581,4.50799,0.532877,0.40172,0.934597,19.6927,44918,440884,29352,26957.2,1110,2,32,33,./outputs/mat_inv-gem5-accel,mat_inv,467841
79,"['A', 'I']",5,256,16,32,spad,cyclic,True,1,16,32,8,32,19.3801,23.8881,4.50799,0.724755,0.40172,1.12648,25.0145,33026,440884,19444,26957.2,1110,2,32,33,./outputs/mat_inv-gem5-accel,mat_inv,467841
80,"['A', 'I']",5,256,32,32,spad,cyclic,True,0,4,32,1,16,14.1149,18.6825,4.56759,0.527836,0.803441,1.33128,20.0138,45347,444208,31623,53914.5,1153,2,32,32,./outputs/mat_inv-gem5-accel,mat_inv,498123
81,"['A', 'I']",5,256,32,32,spad,cyclic,True,0,4,32,1,32,20.3312,24.8988,4.56759,0.760518,0.803441,1.56396,26.4628,31473,444208,21717,53914.5,1153,2,32,32,./outputs/mat_inv-gem5-accel,mat_inv,498123
82,"['A', 'I']",5,256,32,32,spad,cyclic,True,0,4,32,8,16,14.8979,19.5195,4.62158,0.557125,0.803441,1.36057,20.88,42963,450071,29363,53914.5,1158,2,32,33,./outputs/mat_inv-gem5-accel,mat_inv,503986
83,"['A', 'I']",5,256,32,32,spad,cyclic,True,0,4,32,8,32,21.9971,26.6187,4.62158,0.822846,0.803441,1.62629,28.2449,29089,450071,19457,53914.5,1158,2,32,33,./outputs/mat_inv-gem5-accel,mat_inv,503986
84,"['A', 'I']",5,256,32,32,spad,cyclic,True,0,16,32,1,16,14.1149,18.6825,4.56759,0.527836,0.803441,1.33128,20.0138,45347,444208,31623,53914.5,1153,2,32,32,./outputs/mat_inv-gem5-accel,mat_inv,498123
85,"['A', 'I']",5,256,32,32,spad,cyclic,True,0,16,32,1,32,20.3312,24.8988,4.56759,0.760518,0.803441,1.56396,26.4628,31473,444208,21717,53914.5,1153,2,32,32,./outputs/mat_inv-gem5-accel,mat_inv,498123
