,arrays,cycle_time,dma_chunk_size,factors,mat_size,memory_type,partition,pipelined_dma,ready_mode,spad_ports,unrolling_factor_cols,unrolling_factor_row_sub,Avg FU Dynamic Power,Avg FU Power,Avg FU leakage Power,Avg MEM Dynamic Power,Avg MEM Leakage Power,Avg MEM Power,Avg Power,Cycle ,FU Area,Idle FU Cycles,MEM Area,Num of Registers (32-bit),Num of Shifters (32-bit),Num of Single Precision FP Adders,Num of Single Precision FP Multipliers,Running ,Top level function,Total Area
44,"['A', 'I']",5,256,32,64,spad,cyclic,True,1,16,16,1,16.8719,30.6208,13.7488,0.862681,1.48913,2.35181,32.9726,305300,1.26135e+06,209767,96258.6,4257,2,64,64,./outputs/mat_inv-gem5-accel,mat_inv,1.35761e+06
45,"['A', 'I']",5,256,32,64,spad,cyclic,True,1,16,16,8,17.385,31.1878,13.8028,0.888903,1.48913,2.37804,33.5658,296294,1.26721e+06,201139,96258.6,4262,2,64,65,./outputs/mat_inv-gem5-accel,mat_inv,1.36347e+06
46,"['A', 'I']",5,256,32,64,spad,cyclic,True,1,16,32,1,26.9806,40.7294,13.7488,1.37945,1.48913,2.86859,43.598,190928,1.26135e+06,128411,96258.6,4257,2,64,64,./outputs/mat_inv-gem5-accel,mat_inv,1.35761e+06
47,"['A', 'I']",5,256,32,64,spad,cyclic,True,1,16,32,8,28.3166,42.1194,13.8028,1.44774,1.48913,2.93688,45.0563,181922,1.26721e+06,119783,96258.6,4262,2,64,65,./outputs/mat_inv-gem5-accel,mat_inv,1.36347e+06
48,"['A', 'I']",10,256,16,64,spad,block,True,1,4,8,1,4.06778,14.1392,10.0714,0.14608,1.3152,1.46128,15.6005,1268464,830092,527380,87208.4,4167,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,917301
49,"['A', 'I']",10,256,16,64,spad,block,True,1,4,8,8,4.09764,14.1808,10.0832,0.147147,1.3152,1.46235,15.6432,1259268,831049,518571,87208.4,4172,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,918258
50,"['A', 'I']",10,256,16,64,spad,block,True,1,4,16,1,4.3774,14.4488,10.0714,0.158603,1.3152,1.4738,15.9226,1168310,830092,441401,87208.4,4167,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,917301
51,"['A', 'I']",10,256,16,64,spad,block,True,1,4,16,8,4.41229,14.4955,10.0832,0.159861,1.3152,1.47506,15.9706,1159114,831049,432592,87208.4,4172,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,918258
52,"['A', 'I']",10,256,16,64,spad,block,True,1,4,32,1,4.49508,14.5665,10.0714,0.165553,1.3152,1.48075,16.0473,1119262,830092,398926,87208.4,4167,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,917301
53,"['A', 'I']",10,256,16,64,spad,block,True,1,4,32,8,4.53248,14.6157,10.0832,0.166925,1.3152,1.48213,16.0978,1110066,831049,390117,87208.4,4172,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,918258
