,arrays,cycle_time,dma_chunk_size,factors,mat_size,memory_type,partition,pipelined_dma,ready_mode,spad_ports,unrolling_factor_norm,unrolling_factor_row_sub,unrolling_factor_sub,Avg FU Dynamic Power,Avg FU Power,Avg FU leakage Power,Avg MEM Dynamic Power,Avg MEM Leakage Power,Avg MEM Power,Avg Power,Cycle ,FU Area,Idle FU Cycles,MEM Area,Num of Registers (32-bit),Num of Shifters (32-bit),Num of Single Precision FP Adders,Num of Single Precision FP Multipliers,Running ,Top level function,Total Area
46,"['A', 'I']",5,256,8,64,spad,cyclic,True,1,16,64,1,32,17.1989,28.9512,11.7523,1.91713,1.47835,3.39548,32.3466,299956,1.02532e+06,128065,91817,4189,2,32,32,./outputs/mat_inv-gem5-accel,mat_inv,1.11713e+06
47,"['A', 'I']",5,256,8,64,spad,cyclic,True,1,16,64,1,64,19.5754,31.3277,11.7523,2.18091,1.47835,3.65926,34.9869,263677,1.02532e+06,87754,91817,4189,2,32,32,./outputs/mat_inv-gem5-accel,mat_inv,1.11713e+06
48,"['A', 'I']",5,256,64,64,spad,cyclic,True,1,4,64,1,2,2.75757,16.7336,13.976,0.101736,1.60688,1.70862,18.4422,1874944,1.27972e+06,1337030,107829,4353,2,64,64,./outputs/mat_inv-gem5-accel,mat_inv,1.38755e+06
49,"['A', 'I']",5,256,64,64,spad,cyclic,True,1,4,64,1,4,5.28902,19.265,13.976,0.196244,1.60688,1.80313,21.0682,972000,1.27972e+06,692134,107829,4353,2,64,64,./outputs/mat_inv-gem5-accel,mat_inv,1.38755e+06
50,"['A', 'I']",5,256,64,64,spad,cyclic,True,1,4,64,1,8,9.89817,23.8742,13.976,0.366454,1.60688,1.97334,25.8475,520528,1.27972e+06,369686,107829,4353,2,64,64,./outputs/mat_inv-gem5-accel,mat_inv,1.38755e+06
51,"['A', 'I']",5,256,64,64,spad,cyclic,True,1,4,64,1,16,17.4727,31.4487,13.976,0.647065,1.60688,2.25395,33.7027,294792,1.27972e+06,208462,107829,4353,2,64,64,./outputs/mat_inv-gem5-accel,mat_inv,1.38755e+06
52,"['A', 'I']",5,256,64,64,spad,cyclic,True,1,4,64,1,32,28.315,42.291,13.976,1.04851,1.60688,2.65539,44.9464,181924,1.27972e+06,127850,107829,4353,2,64,64,./outputs/mat_inv-gem5-accel,mat_inv,1.38755e+06
53,"['A', 'I']",5,256,64,64,spad,cyclic,True,1,4,64,1,64,41.0588,55.0348,13.976,1.52004,1.60688,3.12692,58.1617,125490,1.27972e+06,87544,107829,4353,2,64,64,./outputs/mat_inv-gem5-accel,mat_inv,1.38755e+06
54,"['A', 'I']",5,256,64,64,spad,cyclic,True,1,16,64,1,2,2.75757,16.7336,13.976,0.101736,1.60688,1.70862,18.4422,1874944,1.27972e+06,1337030,107829,4353,2,64,64,./outputs/mat_inv-gem5-accel,mat_inv,1.38755e+06
55,"['A', 'I']",5,256,64,64,spad,cyclic,True,1,16,64,1,4,5.28902,19.265,13.976,0.196244,1.60688,1.80313,21.0682,972000,1.27972e+06,692134,107829,4353,2,64,64,./outputs/mat_inv-gem5-accel,mat_inv,1.38755e+06
56,"['A', 'I']",5,256,64,64,spad,cyclic,True,1,16,64,1,8,9.89817,23.8742,13.976,0.366454,1.60688,1.97334,25.8475,520528,1.27972e+06,369686,107829,4353,2,64,64,./outputs/mat_inv-gem5-accel,mat_inv,1.38755e+06
57,"['A', 'I']",5,256,64,64,spad,cyclic,True,1,16,64,1,16,17.4727,31.4487,13.976,0.647065,1.60688,2.25395,33.7027,294792,1.27972e+06,208462,107829,4353,2,64,64,./outputs/mat_inv-gem5-accel,mat_inv,1.38755e+06
58,"['A', 'I']",5,256,64,64,spad,cyclic,True,1,16,64,1,32,28.315,42.291,13.976,1.04851,1.60688,2.65539,44.9464,181924,1.27972e+06,127850,107829,4353,2,64,64,./outputs/mat_inv-gem5-accel,mat_inv,1.38755e+06
59,"['A', 'I']",5,256,64,64,spad,cyclic,True,1,16,64,1,64,41.0588,55.0348,13.976,1.52004,1.60688,3.12692,58.1617,125490,1.27972e+06,87544,107829,4353,2,64,64,./outputs/mat_inv-gem5-accel,mat_inv,1.38755e+06
