,arrays,cache_assoc,cache_bandwidth,cache_line_sz,cache_queue_size,cache_size,cycle_time,load_bandwidth,mat_size,memory_type,store_bandwidth,tlb_assoc,tlb_bandwidth,tlb_entries,tlb_max_outstanding_walks,tlb_page_size,unrolling_factor_norm,unrolling_factor_row_sub,unrolling_factor_sub,Avg FU Dynamic Power,Avg FU Power,Avg FU leakage Power,Avg MEM Dynamic Power,Avg MEM Leakage Power,Avg MEM Power,Avg Power,Cycle ,FU Area,Idle FU Cycles,MEM Area,Num of Registers (32-bit),Num of Shifters (32-bit),Num of Single Precision FP Adders,Num of Single Precision FP Multipliers,Running ,Top level function,Total Area
30,"['A', 'I']",8,4,32,32,8kB,5,1,64,cache,1,0,1,0,4,4096,16,1,32,5.16021,5.84843,0.688217,3.70447,0.434469,4.13894,9.98737,805880,66041.6,217178,35278,186,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,101320
31,"['A', 'I']",8,4,32,32,16kB,5,1,64,cache,1,0,1,0,4,4096,16,1,32,5.16241,5.85063,0.688217,4.61901,0.758596,5.3776,11.2282,805536,66041.6,216856,56608.5,186,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,122650
32,"['A', 'I']",8,4,32,32,32kB,5,1,64,cache,1,0,1,0,4,4096,16,1,32,5.18217,5.91255,0.730376,5.35074,1.42058,6.77131,12.6839,802924,70947.3,214167,107519,186,2,5,5,./outputs/mat_inv-gem5-accel,mat_inv,178467
33,"['A', 'I']",8,4,32,32,8kB,5,1,64,cache,1,0,1,0,4,4096,16,1,64,5.3902,6.07841,0.688217,3.89088,0.434469,4.32534,10.4038,767272,66041.6,182661,35278,186,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,101320
34,"['A', 'I']",8,4,32,32,16kB,5,1,64,cache,1,0,1,0,4,4096,16,1,64,5.39102,6.0816,0.690584,4.85017,0.758596,5.60877,11.6904,767143,66233,182536,56608.5,187,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,122842
35,"['A', 'I']",8,4,32,32,32kB,5,1,64,cache,1,0,1,0,4,4096,16,1,64,5.39982,6.13256,0.732742,5.6078,1.42058,7.02838,13.1609,766118,71138.8,181422,107519,187,2,5,5,./outputs/mat_inv-gem5-accel,mat_inv,178658
36,"['A', 'I']",1,4,64,32,8kB,5,1,64,cache,1,0,1,0,4,4096,16,1,4,2.09892,2.84823,0.749308,0.87792,0.356335,1.23425,4.08248,1988080,72478.6,1192091,27118.8,194,2,5,5,./outputs/mat_inv-gem5-accel,mat_inv,99597.4
37,"['A', 'I']",1,4,64,32,16kB,5,1,64,cache,1,0,1,0,4,4096,16,1,4,2.19489,2.94656,0.751674,1.56478,0.649817,2.2146,5.16116,1904432,72670,1104816,52485.5,195,2,5,5,./outputs/mat_inv-gem5-accel,mat_inv,125156
38,"['A', 'I']",1,4,64,32,32kB,5,1,64,cache,1,0,1,0,4,4096,16,1,4,2.36112,3.06826,0.707149,1.97737,1.25407,3.23144,6.29971,1781808,67572.9,979274,105153,194,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,172726
39,"['A', 'I']",1,4,64,32,8kB,5,1,64,cache,1,0,1,0,4,4096,16,1,8,2.95563,3.70494,0.749308,1.14701,0.356335,1.50335,5.20829,1391582,72478.6,724664,27118.8,194,2,5,5,./outputs/mat_inv-gem5-accel,mat_inv,99597.4
40,"['A', 'I']",1,4,64,32,16kB,5,1,64,cache,1,0,1,0,4,4096,16,1,8,3.11667,3.86834,0.751674,2.03735,0.649817,2.68717,6.55551,1322017,72670,651503,52485.5,195,2,5,5,./outputs/mat_inv-gem5-accel,mat_inv,125156
41,"['A', 'I']",1,4,64,32,32kB,5,1,64,cache,1,0,1,0,4,4096,16,1,8,3.45478,4.16193,0.707149,2.63713,1.25407,3.8912,8.05313,1200692,67572.9,527182,105153,194,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,172726
42,"['A', 'I']",1,4,64,32,8kB,5,1,64,cache,1,0,1,0,4,4096,16,1,32,4.30599,5.0553,0.749308,1.61037,0.356335,1.9667,7.022,944850,72478.6,373590,27118.8,194,2,5,5,./outputs/mat_inv-gem5-accel,mat_inv,99597.4
43,"['A', 'I']",1,4,64,32,16kB,5,1,64,cache,1,0,1,0,4,4096,16,1,32,4.57232,5.32399,0.751674,2.85952,0.649817,3.50934,8.83333,891796,72670,315635,52485.5,195,2,5,5,./outputs/mat_inv-gem5-accel,mat_inv,125156
44,"['A', 'I']",1,4,64,32,32kB,5,1,64,cache,1,0,1,0,4,4096,16,1,32,5.36828,6.07543,0.707149,3.9046,1.25407,5.15867,11.2341,765233,67572.9,188491,105153,194,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,172726
45,"['A', 'I']",1,4,64,32,8kB,5,1,64,cache,1,0,1,0,4,4096,16,1,64,4.72847,5.48015,0.751674,1.77243,0.356335,2.12876,7.60891,858459,72670,301513,27118.8,195,2,5,5,./outputs/mat_inv-gem5-accel,mat_inv,99788.8
46,"['A', 'I']",1,4,64,32,16kB,5,1,64,cache,1,0,1,0,4,4096,16,1,64,5.01833,5.77001,0.751674,3.14375,0.649817,3.79357,9.56358,811167,72670,250871,52485.5,195,2,5,5,./outputs/mat_inv-gem5-accel,mat_inv,125156
47,"['A', 'I']",1,4,64,32,32kB,5,1,64,cache,1,0,1,0,4,4096,16,1,64,5.93205,6.6392,0.707149,4.31367,1.25407,5.56774,12.2069,692665,67572.9,132039,105153,194,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,172726
48,"['A', 'I']",4,4,64,32,8kB,5,1,64,cache,1,0,1,0,4,4096,16,1,4,2.35291,3.06005,0.707149,1.56947,0.356952,1.92642,4.98647,1787225,67572.9,984891,33632.3,194,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,101205
49,"['A', 'I']",4,4,64,32,16kB,5,1,64,cache,1,0,1,0,4,4096,16,1,4,2.3542,3.1035,0.749308,1.87557,0.661399,2.53697,5.64047,1786280,72478.6,983946,52293.7,194,2,5,5,./outputs/mat_inv-gem5-accel,mat_inv,124772
50,"['A', 'I']",4,4,64,32,32kB,5,1,64,cache,1,0,1,0,4,4096,16,1,4,2.36102,3.06817,0.707149,2.1727,1.2845,3.4572,6.52537,1781871,67572.9,979350,94700.4,194,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,162273
51,"['A', 'I']",4,4,64,32,8kB,5,1,64,cache,1,0,1,0,4,4096,16,1,8,3.43965,4.18896,0.749308,2.12034,0.356952,2.47729,6.66625,1205418,72478.6,532095,33632.3,194,2,5,5,./outputs/mat_inv-gem5-accel,mat_inv,106111
